time,lat,lon,wind_dir,wind_strength,dt,bin_dt,id_map,lat_map,lon_map,proba,M0
1240293.0354306092,-0.342074068504736,121.01603093893304,-90.49769515471937,55.602897713916455,344.52584317516926,345,8349,-0.9090909090909065,121.81818181818181,0.16236425432169432,7.2
1241497.1779413207,-0.3473146424089746,120.4145863200389,-90.49769515471937,55.602897713916455,344.86032720592243,345,8349,-0.9090909090909065,121.81818181818181,0.16236425432169432,7.2
1248381.556411093,-0.3779460536300627,117.00672363999983,-90.52218520384989,55.10578859043722,346.772654558637,347,8249,-0.9090909090909065,118.18181818181819,0.16318834203051213,7.2
1249524.230504789,-0.3831173543791945,116.4410837895924,-90.52218520384989,55.10578859043722,347.090064029108,348,8249,-0.9090909090909065,118.18181818181819,0.16401161898053007,7.2
1256507.594891077,-0.4167489095102616,113.03129394634637,-90.57307150653448,54.3556188371453,349.0298874697436,350,8149,-0.9090909090909065,114.54545454545456,0.1648340873320464,7.2
1257588.922308863,-0.4220475261715836,112.5033103522703,-90.57307150653448,54.3556188371453,349.33025619690636,350,8049,-0.9090909090909065,110.90909090909088,0.1648340873320464,7.2
1264768.6024786972,-0.4569330152338664,108.98245035813788,-90.5772269080344,54.59127036762234,351.3246117996381,352,7949,-0.9090909090909065,107.27272727272725,0.16565574755302348,7.2
1270772.0283475376,-0.4863045758060783,106.01161622716457,-90.57477434331456,55.08797186853669,352.9922300965382,353,7949,-0.9090909090909065,107.27272727272725,0.16647659940106718,7.2
1271697.788173037,-0.4909155433486794,105.55349767003224,-90.57477434331456,55.08797186853669,353.2493856036214,354,7949,-0.9090909090909065,107.27272727272725,0.1672966436714779,7.2
1278564.017677749,-0.5200414549965579,102.02447633355536,-90.48514126955504,57.21435099008741,355.1566715771525,356,7849,-0.9090909090909065,103.63636363636363,0.16811588171674108,7.2
1279391.2556365577,-0.5236512842715378,101.59930236428193,-90.48514126955504,57.21435099008741,355.3864598990438,356,7749,-0.9090909090909065,100.0,0.16811588171674108,7.2
1286271.8489394863,-0.5507002598184809,97.95834398517844,-90.43974682013037,58.90523492983476,357.297735816524,358,7649,-0.9090909090909065,96.36363636363637,0.16893431399022596,7.2
1293649.6637659534,-0.5784861257557413,94.04052910543022,-90.4227971548832,59.112209400282175,359.34712882387595,360,7549,-0.9090909090909065,92.72727272727269,0.16975194101461932,7.2
1294343.8965958487,-0.5812126817482351,93.67187294138272,-90.4227971548832,59.112209400282175,359.53997127662467,360,7549,-0.9090909090909065,92.72727272727269,0.16975194101461932,7.2
1301167.1965995962,-0.6049720661933766,89.9978093264369,-90.38694921123036,59.93896691111058,361.4353323887767,362,7449,-0.9090909090909065,89.09090909090907,0.17056876348564232,7.2
