distance,shape,scale,freq,model,comp,m0_default
595.0,0.6506106229242711,1.2260920339499987e-05,0.01,Cold100,v,6.0
600.0,0.6523109121397698,1.222807586170229e-05,0.01,Cold100,v,6.0
605.0,0.6540112013552685,1.2195231383904595e-05,0.01,Cold100,v,6.0
610.0,0.6557753271008028,1.2159241470248117e-05,0.01,Cold100,v,6.0
615.0,0.657539452846337,1.2123251556591639e-05,0.01,Cold100,v,6.0
620.0,0.6593035785918713,1.2087261642935161e-05,0.01,Cold100,v,6.0
625.0,0.6610677043374055,1.2051271729278684e-05,0.01,Cold100,v,6.0
630.0,0.6628318300829398,1.2015281815622207e-05,0.01,Cold100,v,6.0
635.0,0.6645959558284741,1.1979291901965728e-05,0.01,Cold100,v,6.0
640.0,0.6663600815740083,1.1943301988309251e-05,0.01,Cold100,v,6.0
645.0,0.6681242073195426,1.1907312074652776e-05,0.01,Cold100,v,6.0
650.0,0.6698883330650768,1.1871322160996297e-05,0.01,Cold100,v,6.0
655.0,0.6716524588106111,1.183533224733982e-05,0.01,Cold100,v,6.0
660.0,0.6714859607329933,1.17440943816192e-05,0.01,Cold100,v,6.0
665.0,0.6713194626553755,1.1652856515898579e-05,0.01,Cold100,v,6.0
670.0,0.6711529645777576,1.1561618650177957e-05,0.01,Cold100,v,6.0
675.0,0.6709864665001398,1.1470380784457338e-05,0.01,Cold100,v,6.0
680.0,0.670819968422522,1.1379142918736718e-05,0.01,Cold100,v,6.0
685.0,0.6706534703449041,1.1287905053016098e-05,0.01,Cold100,v,6.0
690.0,0.6704869722672863,1.1196667187295479e-05,0.01,Cold100,v,6.0
695.0,0.6703204741896684,1.1105429321574857e-05,0.01,Cold100,v,6.0
700.0,0.6701539761120506,1.1014191455854237e-05,0.01,Cold100,v,6.0
705.0,0.6699874780344328,1.0922953590133618e-05,0.01,Cold100,v,6.0
710.0,0.6699673848269238,1.0851755410987368e-05,0.01,Cold100,v,6.0
715.0,0.6699472916194147,1.0780557231841119e-05,0.01,Cold100,v,6.0
720.0,0.6699271984119056,1.0709359052694869e-05,0.01,Cold100,v,6.0
725.0,0.6699071052043966,1.063816087354862e-05,0.01,Cold100,v,6.0
730.0,0.6698870119968876,1.0566962694402372e-05,0.01,Cold100,v,6.0
735.0,0.6698669187893785,1.0495764515256122e-05,0.01,Cold100,v,6.0
740.0,0.6698468255818695,1.0424566336109874e-05,0.01,Cold100,v,6.0
745.0,0.6698267323743604,1.0353368156963624e-05,0.01,Cold100,v,6.0
750.0,0.6698066391668513,1.0282169977817375e-05,0.01,Cold100,v,6.0
755.0,0.6697865459593423,1.0210971798671125e-05,0.01,Cold100,v,6.0
760.0,0.6697123768660674,1.01698921099899e-05,0.01,Cold100,v,6.0
765.0,0.6696382077727926,1.0128812421308675e-05,0.01,Cold100,v,6.0
770.0,0.6695640386795179,1.0087732732627452e-05,0.01,Cold100,v,6.0
775.0,0.669489869586243,1.0046653043946225e-05,0.01,Cold100,v,6.0
780.0,0.6694157004929682,1.0005573355265e-05,0.01,Cold100,v,6.0
785.0,0.6693415313996933,9.964493666583776e-06,0.01,Cold100,v,6.0
790.0,0.6692673623064185,9.92341397790255e-06,0.01,Cold100,v,6.0
795.0,0.6691931932131437,9.882334289221328e-06,0.01,Cold100,v,6.0
800.0,0.6691190241198689,9.841254600540101e-06,0.01,Cold100,v,6.0
805.0,0.669044855026594,9.800174911858876e-06,0.01,Cold100,v,6.0
810.0,0.6688871239930753,9.770255637261998e-06,0.01,Cold100,v,6.0
815.0,0.6687293929595566,9.740336362665121e-06,0.01,Cold100,v,6.0
820.0,0.6685716619260378,9.71041708806824e-06,0.01,Cold100,v,6.0
825.0,0.6684139308925191,9.680497813471364e-06,0.01,Cold100,v,6.0
830.0,0.6682561998590003,9.650578538874484e-06,0.01,Cold100,v,6.0
835.0,0.6680984688254815,9.620659264277605e-06,0.01,Cold100,v,6.0
840.0,0.6679407377919628,9.590739989680729e-06,0.01,Cold100,v,6.0
845.0,0.667783006758444,9.560820715083849e-06,0.01,Cold100,v,6.0
850.0,0.6676252757249254,9.530901440486972e-06,0.01,Cold100,v,6.0
855.0,0.6674675446914066,9.500982165890093e-06,0.01,Cold100,v,6.0
860.0,0.667293373292492,9.475719389581317e-06,0.01,Cold100,v,6.0
865.0,0.6671192018935775,9.45045661327254e-06,0.01,Cold100,v,6.0
870.0,0.666945030494663,9.425193836963763e-06,0.01,Cold100,v,6.0
875.0,0.6667708590957485,9.399931060654987e-06,0.01,Cold100,v,6.0
880.0,0.6665966876968339,9.374668284346209e-06,0.01,Cold100,v,6.0
885.0,0.6664225162979194,9.349405508037432e-06,0.01,Cold100,v,6.0
890.0,0.6662483448990049,9.324142731728655e-06,0.01,Cold100,v,6.0
895.0,0.6660741735000903,9.298879955419879e-06,0.01,Cold100,v,6.0
900.0,0.6659000021011758,9.273617179111102e-06,0.01,Cold100,v,6.0
