distance,SNR,period
8004.128851684115,0.00014672635883270456,1.0
8067.653683840338,0.0001472129121344115,1.0
8131.178515996561,0.00014801575823358617,1.0
8194.703348152785,0.00013940849307908789,1.0
8258.228180309008,0.00014588636559428268,1.0
8321.753012465231,0.0001419692430969848,1.0
8385.277844621454,0.00013702282212698627,1.0
8448.802676777677,0.00014234905932549705,1.0
8512.3275089339,0.00013110765176378448,1.0
8575.852341090123,0.00013129654199155037,1.0
8639.377173246347,0.00013187242890155552,1.0
8702.90200540257,0.00012541567710409185,1.0
8766.426837558793,0.00013205402028949347,1.0
8829.951669715016,0.0001276483284588475,1.0
8893.476501871239,0.00012317898442811427,1.0
8957.001334027462,0.0001292049708149475,1.0
9020.526166183687,0.00011973024095536011,1.0
9084.050998339908,0.00012151222489507842,1.0
