z[m] rho[kg/m^3] T[K] c[m/s] p[Pa] n/a g[m/s^2] n/a.1 kappa[J/s/m/K] mu[kg(s.m)] n/a.2 w_y[m/s] w_x[m/s] w_proj[m/s] cP[J/(kg.K)] cV[J/(kg.K)] gamma[1] fr[Hz] Svib[1] kappa1 taus taue taus_new taue_new
37660.0 5.602 439.8861158 323.7304382 471400.0 0.0 8.760108915 0.0 0.01825966263 2.238940527e-05 0.0 0.0 25.19774485 25.19774485 984.6926352 793.3762833 1.24114201 283099.7216 0.07632680018 1.7032948185045973e-06 0.01 0.010000042909924003 0.01 0.010000042909924003
37670.0 5.597 439.8022622 323.7029539 470900.0 0.0 8.760080143 0.0 0.01825566839 2.23861894e-05 0.0 0.0 25.21409579 25.21409579 984.6345807 793.3171138 1.241161401 282702.5001 0.07631903631 1.7051059429358972e-06 0.01 0.010000042965845285 0.01 0.010000042965845285
37680.0 5.592 439.7184245 323.6754708 470400.0 0.0 8.760051372 0.0 0.01825167437 2.238297347e-05 0.0 0.0 25.23053215 25.23053215 984.5765441 793.2579583 1.241180796 282305.759 0.07631126927 1.7069203673070308e-06 0.01 0.010000043021848938 0.01 0.010000043021848938
37690.0 5.588 439.6346029 323.6479888 469900.0 0.0 8.760022601 0.0 0.01824768055 2.237975749e-05 0.0 0.0 25.24705358 25.24705358 984.5185255 793.1988169 1.241200194 281909.498 0.07630349905 1.7084323144871919e-06 0.01 0.010000043077935065 0.01 0.010000043077935065
37700.0 5.583 439.5507973 323.6205081 469400.0 0.0 8.75999383 0.0 0.01824368695 2.237654144e-05 0.0 0.0 25.26365972 25.26365972 984.4605247 793.1396895 1.241219596 281513.7164 0.07629572566 1.7102527653629795e-06 0.01 0.010000043134103841 0.01 0.010000043134103841
37710.0 5.578 439.467008 323.5930286 468900.0 0.0 8.759965059 0.0 0.01823969355 2.237332535e-05 0.0 0.0 25.28035023 25.28035023 984.4025417 793.0805761 1.241239001 281118.4139 0.07628794908 1.7120765412273756e-06 0.01 0.01000004319035536 0.01 0.01000004319035536
37720.0 5.573 439.3832349 323.5655503 468500.0 0.0 8.759936289 0.0 0.01823570037 2.237010919e-05 0.0 0.0 25.29712475 25.29712475 984.3445766 793.0214766 1.241258409 280723.5901 0.07628016932 1.7139036510452176e-06 0.01 0.010000043246689752 0.01 0.010000043246689752
37730.0 5.568 439.2994781 323.5380733 468000.0 0.0 8.759907518 0.0 0.01823170739 2.236689298e-05 0.0 0.0 25.31398292 25.31398292 984.2866292 792.9623911 1.241277821 280329.2443 0.07627238639 1.7157341027529396e-06 0.01 0.010000043303107194 0.01 0.010000043303107194
37740.0 5.564 439.2157378 323.5105976 467500.0 0.0 8.759878748 0.0 0.01822771462 2.236367671e-05 0.0 0.0 25.33092439 25.33092439 984.2286996 792.9033194 1.241297237 279935.3761 0.07626460027 1.7172592123666707e-06 0.01 0.010000043359607797 0.01 0.010000043359607797
37750.0 5.559 439.132014 323.4831232 467000.0 0.0 8.759849978 0.0 0.01822372207 2.236046039e-05 0.0 0.0 25.34794881 25.34794881 984.1707877 792.8442616 1.241316656 279541.9852 0.07625681098 1.7190957668278685e-06 0.01 0.010000043416191678 0.01 0.010000043416191678
