snr,proba,lat,lon,duration
1.0,0.16282701357221563,-43.33333333333333,-180.0,30.0
2.0,0.1046554272815633,-43.33333333333333,-180.0,30.0
5.0,0.05875873921813457,-43.33333333333333,-180.0,30.0
1.0,0.285598052504764,-43.33333333333333,-180.0,60.0
2.0,0.18875036151342062,-43.33333333333333,-180.0,60.0
5.0,0.1082575870172422,-43.33333333333333,-180.0,60.0
1.0,0.3838059802944772,-43.33333333333333,-180.0,90.0
2.0,0.2600680833903084,-43.33333333333333,-180.0,90.0
5.0,0.15211270470743787,-43.33333333333333,-180.0,90.0
1.0,0.4705251511699692,-43.33333333333333,-180.0,120.0
2.0,0.326678430860322,-43.33333333333333,-180.0,120.0
5.0,0.194813745975826,-43.33333333333333,-180.0,120.0
1.0,0.15365927154669223,-37.916666666666664,-180.0,30.0
2.0,0.09856325353101214,-37.916666666666664,-180.0,30.0
5.0,0.05525048899946017,-37.916666666666664,-180.0,30.0
1.0,0.27176730415092465,-37.916666666666664,-180.0,60.0
2.0,0.1790148251487388,-37.916666666666664,-180.0,60.0
5.0,0.10240773564534278,-37.916666666666664,-180.0,60.0
1.0,0.3750763034311233,-37.916666666666664,-180.0,90.0
2.0,0.25355895864429434,-37.916666666666664,-180.0,90.0
5.0,0.14803554685794917,-37.916666666666664,-180.0,90.0
1.0,0.4580986850093953,-37.916666666666664,-180.0,120.0
2.0,0.3168807036712319,-37.916666666666664,-180.0,120.0
5.0,0.18840568720472128,-37.916666666666664,-180.0,120.0
1.0,0.14441227521618483,-32.5,-180.0,30.0
2.0,0.09244449630113794,-32.5,-180.0,30.0
5.0,0.05173856725304371,-32.5,-180.0,30.0
1.0,0.26518896015156,-32.5,-180.0,60.0
2.0,0.1744249995064363,-32.5,-180.0,60.0
5.0,0.09967195703912735,-32.5,-180.0,60.0
1.0,0.3702728043952751,-32.5,-180.0,90.0
2.0,0.24999093763196,-32.5,-180.0,90.0
5.0,0.14580237277496122,-32.5,-180.0,90.0
1.0,0.4556608602453479,-32.5,-180.0,120.0
2.0,0.314964768616938,-32.5,-180.0,120.0
5.0,0.18715406332422313,-32.5,-180.0,120.0
1.0,0.1402937324863489,-27.08333333333333,-180.0,30.0
2.0,0.08972563480914753,-27.08333333333333,-180.0,30.0
5.0,0.0501800318847172,-27.08333333333333,-180.0,30.0
1.0,0.25802914222742845,-27.08333333333333,-180.0,60.0
2.0,0.1694351892353777,-27.08333333333333,-180.0,60.0
5.0,0.09670228809855286,-27.08333333333333,-180.0,60.0
1.0,0.36297119209350526,-27.08333333333333,-180.0,90.0
2.0,0.2445868212482475,-27.08333333333333,-180.0,90.0
5.0,0.1424301010334439,-27.08333333333333,-180.0,90.0
1.0,0.44670293319572263,-27.08333333333333,-180.0,120.0
2.0,0.3079787544267807,-27.08333333333333,-180.0,120.0
5.0,0.18262413524203513,-27.08333333333333,-180.0,120.0
1.0,0.136400159118788,-21.666666666666664,-180.0,30.0
2.0,0.08715918810525769,-21.666666666666664,-180.0,30.0
5.0,0.04871060098755642,-21.666666666666664,-180.0,30.0
1.0,0.2557673886758709,-21.666666666666664,-180.0,60.0
2.0,0.16786012299584419,-21.666666666666664,-180.0,60.0
5.0,0.09576637677897226,-21.666666666666664,-180.0,60.0
1.0,0.35937667506550974,-21.666666666666664,-180.0,90.0
2.0,0.241932319220724,-21.666666666666664,-180.0,90.0
5.0,0.1407758128235853,-21.666666666666664,-180.0,90.0
1.0,0.4423058987653229,-21.666666666666664,-180.0,120.0
2.0,0.30457347818016867,-21.666666666666664,-180.0,120.0
5.0,0.18043252720094716,-21.666666666666664,-180.0,120.0
