distance,amp_median,amp_qmin,amp_qmax,freq,model,comp,m0_default
685.0,4.883319391908592e-05,2.5061960418534743e-05,0.00011377452136457934,0.01,Cold100,u,6.0
690.0,4.859444603988344e-05,2.4949382268480553e-05,0.0001130433620427257,0.01,Cold100,u,6.0
695.0,4.835569816068095e-05,2.483680411842636e-05,0.00011231220272087202,0.01,Cold100,u,6.0
700.0,4.811695028147847e-05,2.472422596837217e-05,0.00011158104339901836,0.01,Cold100,u,6.0
705.0,4.787820240227598e-05,2.4611647818317977e-05,0.00011084988407716469,0.01,Cold100,u,6.0
710.0,4.759522868168164e-05,2.4408286761272403e-05,0.00011030666236241814,0.01,Cold100,u,6.0
715.0,4.731225496108729e-05,2.4204925704226832e-05,0.00010976344064767159,0.01,Cold100,u,6.0
720.0,4.7029281240492944e-05,2.400156464718126e-05,0.00010922021893292504,0.01,Cold100,u,6.0
725.0,4.67463075198986e-05,2.3798203590135684e-05,0.00010867699721817849,0.01,Cold100,u,6.0
730.0,4.6463333799304257e-05,2.3594842533090114e-05,0.00010813377550343194,0.01,Cold100,u,6.0
735.0,4.6180360078709906e-05,2.339148147604454e-05,0.00010759055378868539,0.01,Cold100,u,6.0
740.0,4.589738635811556e-05,2.318812041899897e-05,0.00010704733207393884,0.01,Cold100,u,6.0
745.0,4.561441263752122e-05,2.2984759361953396e-05,0.0001065041103591923,0.01,Cold100,u,6.0
750.0,4.533143891692687e-05,2.2781398304907825e-05,0.00010596088864444574,0.01,Cold100,u,6.0
755.0,4.5048465196332525e-05,2.257803724786225e-05,0.0001054176669296992,0.01,Cold100,u,6.0
760.0,4.46677997459584e-05,2.2378078072596258e-05,0.00010506633200837178,0.01,Cold100,u,6.0
765.0,4.428713429558429e-05,2.2178118897330258e-05,0.00010471499708704436,0.01,Cold100,u,6.0
770.0,4.390646884521016e-05,2.197815972206426e-05,0.00010436366216571694,0.01,Cold100,u,6.0
775.0,4.3525803394836044e-05,2.177820054679826e-05,0.00010401232724438951,0.01,Cold100,u,6.0
780.0,4.314513794446192e-05,2.1578241371532268e-05,0.00010366099232306211,0.01,Cold100,u,6.0
785.0,4.27644724940878e-05,2.137828219626627e-05,0.00010330965740173469,0.01,Cold100,u,6.0
790.0,4.238380704371368e-05,2.117832302100027e-05,0.00010295832248040726,0.01,Cold100,u,6.0
795.0,4.2003141593339556e-05,2.0978363845734274e-05,0.00010260698755907984,0.01,Cold100,u,6.0
800.0,4.1622476142965444e-05,2.0778404670468277e-05,0.00010225565263775242,0.01,Cold100,u,6.0
805.0,4.124181069259132e-05,2.057844549520228e-05,0.000101904317716425,0.01,Cold100,u,6.0
810.0,4.091978379357306e-05,2.042790174325039e-05,0.00010150331849311942,0.01,Cold100,u,6.0
815.0,4.0597756894554795e-05,2.0277357991298504e-05,0.00010110231926981382,0.01,Cold100,u,6.0
820.0,4.0275729995536536e-05,2.012681423934661e-05,0.00010070132004650823,0.01,Cold100,u,6.0
825.0,3.995370309651827e-05,1.9976270487394723e-05,0.00010030032082320262,0.01,Cold100,u,6.0
830.0,3.9631676197500006e-05,1.9825726735442835e-05,9.989932159989704e-05,0.01,Cold100,u,6.0
835.0,3.930964929848175e-05,1.9675182983490943e-05,9.949832237659145e-05,0.01,Cold100,u,6.0
840.0,3.898762239946348e-05,1.9524639231539058e-05,9.909732315328586e-05,0.01,Cold100,u,6.0
845.0,3.866559550044522e-05,1.9374095479587166e-05,9.869632392998026e-05,0.01,Cold100,u,6.0
850.0,3.8343568601426965e-05,1.922355172763528e-05,9.829532470667467e-05,0.01,Cold100,u,6.0
855.0,3.80215417024087e-05,1.907300797568339e-05,9.789432548336907e-05,0.01,Cold100,u,6.0
860.0,3.784692543160214e-05,1.9003579801225688e-05,9.758720032400725e-05,0.01,Cold100,u,6.0
865.0,3.767230916079559e-05,1.893415162676799e-05,9.728007516464541e-05,0.01,Cold100,u,6.0
870.0,3.749769288998903e-05,1.886472345231029e-05,9.697295000528358e-05,0.01,Cold100,u,6.0
875.0,3.732307661918247e-05,1.879529527785259e-05,9.666582484592176e-05,0.01,Cold100,u,6.0
880.0,3.714846034837591e-05,1.8725867103394892e-05,9.635869968655993e-05,0.01,Cold100,u,6.0
885.0,3.697384407756936e-05,1.865643892893719e-05,9.605157452719812e-05,0.01,Cold100,u,6.0
890.0,3.6799227806762804e-05,1.858701075447949e-05,9.574444936783629e-05,0.01,Cold100,u,6.0
895.0,3.662461153595624e-05,1.851758258002179e-05,9.543732420847445e-05,0.01,Cold100,u,6.0
900.0,3.644999526514969e-05,1.8448154405564093e-05,9.513019904911263e-05,0.01,Cold100,u,6.0
905.0,3.627537899434313e-05,1.8378726231106392e-05,9.48230738897508e-05,0.01,Cold100,u,6.0
910.0,3.6193600344538226e-05,1.8297872369572767e-05,9.44597223300054e-05,0.01,Cold100,u,6.0
915.0,3.611182169473332e-05,1.8217018508039138e-05,9.409637077026e-05,0.01,Cold100,u,6.0
920.0,3.6030043044928427e-05,1.8136164646505506e-05,9.373301921051461e-05,0.01,Cold100,u,6.0
925.0,3.594826439512352e-05,1.805531078497188e-05,9.33696676507692e-05,0.01,Cold100,u,6.0
930.0,3.5866485745318614e-05,1.797445692343825e-05,9.300631609102381e-05,0.01,Cold100,u,6.0
935.0,3.5784707095513714e-05,1.7893603061904626e-05,9.264296453127841e-05,0.01,Cold100,u,6.0
940.0,3.570292844570881e-05,1.7812749200370997e-05,9.2279612971533e-05,0.01,Cold100,u,6.0
945.0,3.562114979590391e-05,1.773189533883737e-05,9.191626141178762e-05,0.01,Cold100,u,6.0
950.0,3.553937114609901e-05,1.765104147730374e-05,9.155290985204221e-05,0.01,Cold100,u,6.0
955.0,3.54575924962941e-05,1.757018761577011e-05,9.118955829229682e-05,0.01,Cold100,u,6.0
960.0,3.534713798823896e-05,1.748039205829567e-05,9.0868648075305e-05,0.01,Cold100,u,6.0
965.0,3.5236683480183806e-05,1.739059650082123e-05,9.054773785831317e-05,0.01,Cold100,u,6.0
970.0,3.5126228972128654e-05,1.7300800943346782e-05,9.022682764132136e-05,0.01,Cold100,u,6.0
975.0,3.501577446407351e-05,1.7211005385872343e-05,8.990591742432955e-05,0.01,Cold100,u,6.0
980.0,3.4905319956018364e-05,1.7121209828397903e-05,8.958500720733773e-05,0.01,Cold100,u,6.0
985.0,3.479486544796321e-05,1.7031414270923457e-05,8.926409699034591e-05,0.01,Cold100,u,6.0
990.0,3.468441093990806e-05,1.6941618713449014e-05,8.894318677335409e-05,0.01,Cold100,u,6.0
995.0,3.4573956431852915e-05,1.6851823155974574e-05,8.862227655636228e-05,0.01,Cold100,u,6.0
1000.0,3.446350192379777e-05,1.676202759850013e-05,8.830136633937047e-05,0.01,Cold100,u,6.0
1005.0,3.435304741574262e-05,1.667223204102569e-05,8.798045612237864e-05,0.01,Cold100,u,6.0
1010.0,3.423269811955447e-05,1.660716152480092e-05,8.772072967768932e-05,0.01,Cold100,u,6.0
1015.0,3.411234882336632e-05,1.654209100857615e-05,8.7461003233e-05,0.01,Cold100,u,6.0
1020.0,3.399199952717817e-05,1.6477020492351378e-05,8.720127678831066e-05,0.01,Cold100,u,6.0
1025.0,3.3871650230990025e-05,1.6411949976126608e-05,8.694155034362135e-05,0.01,Cold100,u,6.0
1030.0,3.375130093480188e-05,1.634687945990184e-05,8.668182389893202e-05,0.01,Cold100,u,6.0
1035.0,3.363095163861373e-05,1.628180894367707e-05,8.642209745424271e-05,0.01,Cold100,u,6.0
1040.0,3.351060234242558e-05,1.62167384274523e-05,8.616237100955338e-05,0.01,Cold100,u,6.0
1045.0,3.339025304623744e-05,1.615166791122753e-05,8.590264456486405e-05,0.01,Cold100,u,6.0
1050.0,3.3269903750049294e-05,1.608659739500276e-05,8.564291812017473e-05,0.01,Cold100,u,6.0
1055.0,3.314955445386114e-05,1.6021526878777987e-05,8.538319167548541e-05,0.01,Cold100,u,6.0
1060.0,3.3062119038685616e-05,1.6015094136410586e-05,8.516599955635295e-05,0.01,Cold100,u,6.0
1065.0,3.297468362351009e-05,1.6008661394043184e-05,8.494880743722049e-05,0.01,Cold100,u,6.0
1070.0,3.288724820833457e-05,1.6002228651675783e-05,8.473161531808803e-05,0.01,Cold100,u,6.0
1075.0,3.279981279315904e-05,1.599579590930838e-05,8.451442319895556e-05,0.01,Cold100,u,6.0
1080.0,3.271237737798351e-05,1.5989363166940977e-05,8.42972310798231e-05,0.01,Cold100,u,6.0
