lon,lat,type
90.38937302924,-14.125336833695762,corona
314.37888888473486,-5.038568326042565,corona
22.28387116906293,54.1089065585124,corona
357.2203591243093,-0.8211570108633737,corona
200.22065792992433,48.60997562448141,corona
223.92946535024427,-4.820567171727632,corona
134.7298618706022,-1.6035256185583933,corona
34.386946343889235,-13.941589426156355,corona
269.43873484721547,-4.301370844963444,corona
259.14089714318584,-3.5012493163895755,corona
276.85045852153513,69.65286730884752,corona
33.17610400284051,23.173023339803876,corona
50.35629299240085,-45.52755323696948,corona
271.26425029285537,63.43253694076277,corona
297.53212052018654,-4.019016791156233,corona
243.20888811974126,-8.373547435495738,corona
306.19852324745983,-14.31731783649618,corona
10.713577270677202,14.366888124617006,corona
73.83744781966365,-40.4475444977492,corona
98.91128755400392,25.80985054526242,corona
