region,iloc,lon,lat,iradius,radius,ratio,ratio_map
corona,2,-139,-89,28,14010000.0,0.16199721167206446,0.83499593496126
corona,2,-139,-89,29,14510000.0,0.1684657761603259,0.8683374042185638
corona,2,-139,-89,30,15010000.0,0.1729002326577938,0.8911942985498306
corona,2,-139,-89,31,15510000.0,0.17796092680687492,0.9172790625957642
corona,2,-139,-89,32,16010000.0,0.18228398140194338,0.9395617486756026
corona,2,-139,-89,33,16510000.0,0.18862218839820438,0.9722313052821353
corona,2,-139,-89,34,17010000.0,0.1926818671498626,0.9931564509676383
corona,2,-139,-89,35,17510000.0,0.19371577528079975,0.9984856111275275
corona,2,-139,-89,36,18010000.0,0.19400946693305535,0.9999994108604632
corona,2,-139,-89,37,18510000.0,0.19400946693305535,0.9999994108604632
corona,3,-119,-89,0,10000.0,0.0,0.0
corona,3,-119,-89,1,510000.0,0.0,0.0
corona,3,-119,-89,2,1010000.0,0.0,0.0
corona,3,-119,-89,3,1510000.0,0.0,0.0
corona,3,-119,-89,4,2010000.0,0.0009693613002374761,0.004996460969004647
corona,3,-119,-89,5,2510000.0,0.0029191031134122142,0.015046180167385436
corona,3,-119,-89,6,3010000.0,0.004615905558042696,0.023792152576879104
corona,3,-119,-89,7,3510000.0,0.006348772005787861,0.03272401272905904
corona,3,-119,-89,8,4010000.0,0.008538710892641509,0.04401180002775681
corona,3,-119,-89,9,4510000.0,0.012743774536788804,0.06568631536586163
corona,3,-119,-89,10,5010000.0,0.01848611453853885,0.09528454430533888
corona,3,-119,-89,11,5510000.0,0.023182324154666624,0.11949061488345909
corona,3,-119,-89,12,6010000.0,0.031166046353203393,0.16064178972672188
corona,3,-119,-89,13,6510000.0,0.037819478913960855,0.19493614013207147
corona,3,-119,-89,14,7010000.0,0.04384943284707171,0.22601684189343077
corona,3,-119,-89,15,7510000.0,0.04991542728709278,0.25728331028900153
corona,3,-119,-89,16,8010000.0,0.05684996853577539,0.2930266029895738
corona,3,-119,-89,17,8510000.0,0.0632071764131089,0.32579409744511295
corona,3,-119,-89,18,9010000.0,0.07163487004369322,0.36923367180570255
corona,3,-119,-89,19,9510000.0,0.08065441834226686,0.4157238927592677
corona,3,-119,-89,20,10010000.0,0.08859575159601084,0.4566565786777894
corona,3,-119,-89,21,10510000.0,0.09777596807513508,0.5039749452287551
corona,3,-119,-89,22,11010000.0,0.10788348218234774,0.5560729604042937
corona,3,-119,-89,23,11510000.0,0.11896682315101292,0.613200762538069
corona,3,-119,-89,24,12010000.0,0.12849561206368953,0.6623158054765578
corona,3,-119,-89,25,12510000.0,0.13831954357278486,0.7129521268722487
corona,3,-119,-89,26,13010000.0,0.146611727892549,0.7556932341264211
corona,3,-119,-89,27,13510000.0,0.15441591975660074,0.7959190405763025
corona,3,-119,-89,28,14010000.0,0.1620561219824564,0.8352995813586075
corona,3,-119,-89,29,14510000.0,0.16857586239793443,0.8689048310276398
corona,3,-119,-89,30,15010000.0,0.17299852674143093,0.8917009440619391
corona,3,-119,-89,31,15510000.0,0.1779886846124669,0.9174221370017588
corona,3,-119,-89,32,16010000.0,0.182230720071824,0.9392872192952432
corona,3,-119,-89,33,16510000.0,0.188598549496619,0.9721094612915689
corona,3,-119,-89,34,17010000.0,0.19266039991148118,0.993045800564472
